B_STREET|U_CITY|REGION_STATE|POST_CODE|TYPE|NAME
Ap #571-6452 At Rd.|Santa Luzia|MG|570435|SHIPPING|Sally Thomas
5785 Ipsum Rd.|Chimbote|ANC|325656|BILLING|Sally Thomas
9186 Enim, Avenue|Puno|Puno|77129|LIVING|George Bailey
385-4465 Ut Street|Incheon|Gye|9603 SW|SHIPPING|George Bailey
3841 Penatibus Rd.|Cuernavaca|Mor|200861|BILLING|Edward Walker
Ap #764-6167 Tellus, Road|Lonquimay|Araucanía|23214|LIVING|Edward Walker
602-8821 Porttitor Street|Awaran|Balochistan|21919|SHIPPING|Anne Kretchmar
P.O. Box 591, 402 Nec, Rd.|Dublin|Leinster|494089|BILLING|Anne Kretchmar
P.O. Box 620, 1783 Ac Av.|Hamburg|HH|594806|LIVING|Sally Thomas
Ap #968-7444 Lacus Ave|MalŽves-Sainte-Marie-Wastines|Waals-Brabant|90898|SHIPPING|Sally Thomas
212-8895 Nullam St.|Rewa|Madhya Pradesh|B6P 0W1|BILLING|George Bailey
972-7947 Metus St.|Huancayo|Junín|61006|LIVING|George Bailey
Ap #546-7185 Nec, Av.|Borås|O|45168|SHIPPING|Edward Walker
1260 Lacus. Av.|Pontianak|West Kalimantan|09371|BILLING|Edward Walker
817-5105 Netus Rd.|Cessnock|NSW|27615|LIVING|Anne Kretchmar
5595 Urna, Avenue|Vallentuna|Stockholms län|S2P 9C4|SHIPPING|Anne Kretchmar
760-1979 Nunc. Road|Middelburg|Zeeland|7760 LA|BILLING|Sally Thomas
Ap #591-6139 Arcu Ave|Istanbul|Istanbul|253192|LIVING|Sally Thomas
9701 Nullam Road|Vienna|Vienna|21-057|SHIPPING|George Bailey
752-9765 Duis Av.|Araban|Gaziantep|76748|BILLING|George Bailey
P.O. Box 692, 3346 Non St.|Chulucanas|PIU|4637|LIVING|Edward Walker
Ap #612-2880 Sed St.|Galway|Connacht|730881|SHIPPING|Edward Walker
267-9226 Morbi Rd.|Belfast|U|Z5656|BILLING|Anne Kretchmar
Ap #442-907 Semper Rd.|São João de Meriti|RJ|2932|LIVING|Anne Kretchmar
251-7717 Suspendisse Ave|Tyumen|TYU|02982|SHIPPING|Sally Thomas
Ap #252-6773 Malesuada Ave|Colbún|Maule|5918|BILLING|Sally Thomas
4445 Blandit. Av.|Turbo|Antioquia|98472-642|LIVING|George Bailey
Ap #373-9998 Pellentesque St.|Manukau|NI|02538|SHIPPING|George Bailey
5092 Sapien. Ave|Lathuy|WB|5086|BILLING|Edward Walker
P.O. Box 995, 2280 Eu Road|Schagen|N.|80-100|LIVING|Edward Walker
P.O. Box 804, 5483 Cursus. Ave|Mustafakemalpaşa|Bursa|47238-929|SHIPPING|Anne Kretchmar
195-7960 Pellentesque. Av.|Knoxville|TN|04764|BILLING|Anne Kretchmar
Ap #761-4660 A, St.|Erie|PA|887299|LIVING|Sally Thomas
1563 Scelerisque Road|Rudiano|LOM|B1E 5Z7|SHIPPING|Sally Thomas
P.O. Box 365, 2074 Aliquet Ave|Baidyabati|West Bengal|653034|BILLING|George Bailey
7001 Euismod Avenue|San Rafael Abajo|SJ|26838-994|LIVING|George Bailey
Ap #181-5415 Turpis. St.|Araban|Gaz|JI20 8FQ|SHIPPING|Edward Walker
7889 Molestie Ave|Sneek|Fr|78495|BILLING|Edward Walker
Ap #384-8972 Consequat St.|Enschede|Overijssel|38359|LIVING|Anne Kretchmar
969 Egestas Rd.|Gloucester|Ontario|50102|SHIPPING|Anne Kretchmar
8573 Tellus St.|Hamburg|HH|Z6713|BILLING|Sally Thomas
171-2333 Nulla Rd.|Cheonan|South Gyeongsang|826189|LIVING|Sally Thomas
P.O. Box 468, 5934 Eu St.|Trowbridge|WI|510759|SHIPPING|George Bailey
135-3569 Sociis St.|Ulyanovsk|Ulyanovsk Oblast|62216-374|BILLING|George Bailey
194-5280 Vehicula Ave|Vienna|Vienna|223335|LIVING|Edward Walker
P.O. Box 332, 7497 Iaculis Avenue|Şereflikoçhisar|Ank|36889|SHIPPING|Edward Walker
P.O. Box 862, 4533 Dictum. St.|Pachuca|Hidalgo|7392|BILLING|Anne Kretchmar
9260 Blandit Rd.|Bergama|İzm|54547|LIVING|Anne Kretchmar
Ap #114-3443 Diam Rd.|Zaria|KD|Z0797|SHIPPING|Sally Thomas
1420 Felis Street|Villers-aux-Tours|Luik|2550|BILLING|Sally Thomas
Ap #933-9652 Proin Rd.|New Orleans|LA|2762|LIVING|George Bailey
6775 Eleifend Ave|Litueche|VI|21345|SHIPPING|George Bailey
775-8163 Non, Av.|Puno|PUN|8203|BILLING|Edward Walker
